ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-mir-1292:MI0006433:Homo:sapiens:miR-1292:stem-loop	14	30	30.0	0.0
hsa-mir-107:MI0000114:Homo:sapiens:miR-107:stem-loop	26	59	29.0	0.0
hsa-mir-29b-1:MI0000105:Homo:sapiens:miR-29b-1:stem-loop	18	50	28.166666666666668	0.0
hsa-mir-23b:MI0000439:Homo:sapiens:miR-23b:stem-loop	16	28	27.5	0.0
hsa-mir-146b:MI0003129:Homo:sapiens:miR-146b:stem-loop	14	26	26.0	0.0
hsa-mir-421:MI0003685:Homo:sapiens:miR-421:stem-loop	16	26	26.0	0.0
hsa-mir-597:MI0003609:Homo:sapiens:miR-597:stem-loop	12	26	26.0	0.0
hsa-mir-326:MI0000808:Homo:sapiens:miR-326:stem-loop	8	26	26.0	0.0
hsa-mir-577:MI0003584:Homo:sapiens:miR-577:stem-loop	10	24	24.0	0.0
hsa-mir-26b:MI0000084:Homo:sapiens:miR-26b:stem-loop	11	23	23.0	0.0
hsa-mir-196a-2:MI0000279:Homo:sapiens:miR-196a-2:stem-loop	6	23	23.0	0.0
hsa-mir-135a-2:MI0000453:Homo:sapiens:miR-135a-2:stem-loop	7	23	23.0	0.0
hsa-mir-18a:MI0000072:Homo:sapiens:miR-18a:stem-loop	13	23	23.0	0.0
hsa-mir-25:MI0000082:Homo:sapiens:miR-25:stem-loop	19	22	22.0	0.0
hsa-mir-3939:MI0016596:Homo:sapiens:miR-3939:stem-loop	5	22	22.0	0.0
hsa-mir-3678:MI0016079:Homo:sapiens:miR-3678:stem-loop	10	21	21.0	0.0
hsa-mir-1277:MI0006419:Homo:sapiens:miR-1277:stem-loop	10	21	21.0	0.0
hsa-mir-503:MI0003188:Homo:sapiens:miR-503:stem-loop	7	20	20.0	0.0
hsa-mir-5702:MI0019309:Homo:sapiens:miR-5702:stem-loop	13	19	19.0	0.0
hsa-mir-500b:MI0015903:Homo:sapiens:miR-500b:stem-loop	8	19	19.0	0.0
hsa-mir-203b:MI0017343:Homo:sapiens:miR-203b:stem-loop	6	19	19.0	0.0
hsa-mir-132:MI0000449:Homo:sapiens:miR-132:stem-loop	9	18	18.0	0.0
hsa-mir-4461:MI0016807:Homo:sapiens:miR-4461:stem-loop	15	18	18.0	0.0
hsa-mir-1301:MI0003815:Homo:sapiens:miR-1301:stem-loop	12	18	18.0	0.0
hsa-mir-574:MI0003581:Homo:sapiens:miR-574:stem-loop	10	18	18.0	0.0
hsa-mir-632:MI0003647:Homo:sapiens:miR-632:stem-loop	14	18	18.0	0.0
hsa-mir-20a:MI0000076:Homo:sapiens:miR-20a:stem-loop	13	18	18.0	0.0
hsa-mir-374b:MI0005566:Homo:sapiens:miR-374b:stem-loop	6	18	18.0	0.0
hsa-mir-7974:MI0025750:Homo:sapiens:miR-7974:stem-loop	3	18	18.0	0.0
hsa-mir-19b-2:MI0000075:Homo:sapiens:miR-19b-2:stem-loop	13	34	17.5	0.0
hsa-mir-361:MI0000760:Homo:sapiens:miR-361:stem-loop	11	17	17.0	0.0
hsa-mir-548f-1:MI0006374:Homo:sapiens:miR-548f-1:stem-loop	14	23	17.0	0.0
hsa-mir-3200:MI0014249:Homo:sapiens:miR-3200:stem-loop	9	17	17.0	0.0
hsa-mir-3199-2:MI0014248:Homo:sapiens:miR-3199-2:stem-loop	13	32	16.5	0.0
hsa-mir-3615:MI0016005:Homo:sapiens:miR-3615:stem-loop	7	16	16.0	0.0
hsa-mir-6723:MI0022558:Homo:sapiens:miR-6723:stem-loop	12	16	16.0	0.0
hsa-mir-16-2:MI0000115:Homo:sapiens:miR-16-2:stem-loop	12	18	16.0	0.0
hsa-mir-374a:MI0000782:Homo:sapiens:miR-374a:stem-loop	9	16	16.0	0.0
hsa-mir-3199-1:MI0014247:Homo:sapiens:miR-3199-1:stem-loop	12	31	15.5	0.0
hsa-mir-744:MI0005559:Homo:sapiens:miR-744:stem-loop	7	15	15.0	0.0
hsa-mir-3064:MI0017375:Homo:sapiens:miR-3064:stem-loop	8	15	15.0	0.0
hsa-mir-6516:MI0025513:Homo:sapiens:miR-6516:stem-loop	13	15	15.0	0.0
hsa-mir-4470:MI0016821:Homo:sapiens:miR-4470:stem-loop	11	15	15.0	0.0
hsa-mir-324:MI0000813:Homo:sapiens:miR-324:stem-loop	7	14	14.0	0.0
hsa-mir-4797:MI0017444:Homo:sapiens:miR-4797:stem-loop	5	14	14.0	0.0
hsa-mir-1254-1:MI0006388:Homo:sapiens:miR-1254-1:stem-loop	6	27	14.0	0.0
hsa-mir-219a-1:MI0000296:Homo:sapiens:miR-219a-1:stem-loop	10	14	14.0	0.0
hsa-mir-3189:MI0014233:Homo:sapiens:miR-3189:stem-loop	10	14	14.0	0.0
hsa-mir-3941:MI0016598:Homo:sapiens:miR-3941:stem-loop	8	14	14.0	0.0
hsa-mir-1307:MI0006444:Homo:sapiens:miR-1307:stem-loop	8	14	14.0	0.0
hsa-mir-5091:MI0017980:Homo:sapiens:miR-5091:stem-loop	4	13	13.0	0.0
hsa-mir-1254-2:MI0016747:Homo:sapiens:miR-1254-2:stem-loop	5	26	13.0	0.0
hsa-mir-581:MI0003588:Homo:sapiens:miR-581:stem-loop	4	13	13.0	0.0
hsa-mir-1224:MI0003764:Homo:sapiens:miR-1224:stem-loop	7	13	13.0	0.0
hsa-mir-671:MI0003760:Homo:sapiens:miR-671:stem-loop	9	13	13.0	0.0
hsa-mir-8485:MI0027288:Homo:sapiens:miR-8485:stem-loop	3	13	13.0	0.0
hsa-mir-24-1:MI0000080:Homo:sapiens:miR-24-1:stem-loop	13	16	12.5	0.0
hsa-mir-1262:MI0006397:Homo:sapiens:miR-1262:stem-loop	5	12	12.0	0.0
hsa-mir-194-2:MI0000732:Homo:sapiens:miR-194-2:stem-loop	8	12	12.0	0.0
hsa-mir-4444-1:MI0016787:Homo:sapiens:miR-4444-1:stem-loop	17	23	11.5	0.0
hsa-mir-4444-2:MI0019111:Homo:sapiens:miR-4444-2:stem-loop	17	23	11.5	0.0
hsa-mir-5087:MI0017976:Homo:sapiens:miR-5087:stem-loop	8	11	11.0	0.0
hsa-mir-6805:MI0022650:Homo:sapiens:miR-6805:stem-loop	5	11	11.0	0.0
hsa-mir-4763:MI0017404:Homo:sapiens:miR-4763:stem-loop	8	11	11.0	0.0
hsa-mir-5582:MI0019138:Homo:sapiens:miR-5582:stem-loop	5	11	11.0	0.0
hsa-mir-34a:MI0000268:Homo:sapiens:miR-34a:stem-loop	9	11	11.0	0.0
hsa-mir-3913-1:MI0016417:Homo:sapiens:miR-3913-1:stem-loop	11	15	10.5	0.0
hsa-mir-3922:MI0016429:Homo:sapiens:miR-3922:stem-loop	5	10	10.0	0.0
hsa-mir-4426:MI0016765:Homo:sapiens:miR-4426:stem-loop	8	10	10.0	0.0
hsa-mir-500a:MI0003184:Homo:sapiens:miR-500a:stem-loop	4	10	10.0	0.0
hsa-mir-3190:MI0014235:Homo:sapiens:miR-3190:stem-loop	10	10	10.0	0.0
hsa-mir-92b:MI0003560:Homo:sapiens:miR-92b:stem-loop	4	10	10.0	0.0
hsa-mir-128-1:MI0000447:Homo:sapiens:miR-128-1:stem-loop	4	10	10.0	0.0
hsa-mir-3664:MI0016065:Homo:sapiens:miR-3664:stem-loop	7	10	10.0	0.0
hsa-mir-28:MI0000086:Homo:sapiens:miR-28:stem-loop	7	10	10.0	0.0
hsa-mir-5699:MI0019306:Homo:sapiens:miR-5699:stem-loop	8	10	10.0	0.0
hsa-mir-16-1:MI0000070:Homo:sapiens:miR-16-1:stem-loop	10	12	10.0	0.0
hsa-mir-26a-2:MI0000750:Homo:sapiens:miR-26a-2:stem-loop	8	11	9.5	0.0
hsa-mir-1289-1:MI0006350:Homo:sapiens:miR-1289-1:stem-loop	9	10	9.5	0.0
hsa-mir-675:MI0005416:Homo:sapiens:miR-675:stem-loop	5	9	9.0	0.0
hsa-mir-1276:MI0006416:Homo:sapiens:miR-1276:stem-loop	4	9	9.0	0.0
hsa-mir-4713:MI0017347:Homo:sapiens:miR-4713:stem-loop	5	9	9.0	0.0
hsa-let-7d:MI0000065:Homo:sapiens:let-7d:stem-loop	8	9	9.0	0.0
hsa-mir-378a:MI0000786:Homo:sapiens:miR-378a:stem-loop	8	9	9.0	0.0
hsa-mir-550a-3:MI0003762:Homo:sapiens:miR-550a-3:stem-loop	3	9	9.0	0.0
hsa-mir-340:MI0000802:Homo:sapiens:miR-340:stem-loop	4	9	9.0	0.0
hsa-mir-941-2:MI0005764:Homo:sapiens:miR-941-2:stem-loop	16	40	8.000000000000002	0.0
hsa-mir-941-3:MI0005765:Homo:sapiens:miR-941-3:stem-loop	16	40	8.000000000000002	0.0
hsa-mir-941-1:MI0005763:Homo:sapiens:miR-941-1:stem-loop	16	40	8.000000000000002	0.0
hsa-mir-941-5:MI0031520:Homo:sapiens:miR-941-5:stem-loop	16	40	8.000000000000002	0.0
hsa-mir-941-4:MI0005766:Homo:sapiens:miR-941-4:stem-loop	16	40	8.000000000000002	0.0
hsa-mir-548e:MI0006344:Homo:sapiens:miR-548e:stem-loop	4	8	8.0	0.0
hsa-mir-548ac:MI0016762:Homo:sapiens:miR-548ac:stem-loop	2	8	8.0	0.0
hsa-mir-3651:MI0016051:Homo:sapiens:miR-3651:stem-loop	3	8	8.0	0.0
hsa-mir-3116-1:MI0014128:Homo:sapiens:miR-3116-1:stem-loop	3	9	7.5	0.0
hsa-mir-125a:MI0000469:Homo:sapiens:miR-125a:stem-loop	4	7	7.0	0.0
hsa-mir-1278:MI0006425:Homo:sapiens:miR-1278:stem-loop	7	7	7.0	0.0
hsa-mir-636:MI0003651:Homo:sapiens:miR-636:stem-loop	7	7	7.0	0.0
hsa-mir-607:MI0003620:Homo:sapiens:miR-607:stem-loop	6	7	7.0	0.0
hsa-mir-3175:MI0014209:Homo:sapiens:miR-3175:stem-loop	6	7	7.0	0.0
hsa-mir-652:MI0003667:Homo:sapiens:miR-652:stem-loop	5	7	7.0	0.0
hsa-mir-4761:MI0017402:Homo:sapiens:miR-4761:stem-loop	3	7	7.0	0.0
hsa-mir-501:MI0003185:Homo:sapiens:miR-501:stem-loop	6	7	7.0	0.0
hsa-mir-196b:MI0001150:Homo:sapiens:miR-196b:stem-loop	7	7	7.0	0.0
hsa-mir-130b:MI0000748:Homo:sapiens:miR-130b:stem-loop	6	7	7.0	0.0
hsa-mir-3146:MI0014172:Homo:sapiens:miR-3146:stem-loop	4	7	7.0	0.0
hsa-mir-3609:MI0015999:Homo:sapiens:miR-3609:stem-loop	5	6	6.0	0.0
hsa-mir-455:MI0003513:Homo:sapiens:miR-455:stem-loop	3	6	6.0	0.0
hsa-mir-5684:MI0019285:Homo:sapiens:miR-5684:stem-loop	3	6	6.0	0.0
hsa-mir-4525:MI0016892:Homo:sapiens:miR-4525:stem-loop	6	6	6.0	0.0
hsa-mir-6827:MI0022672:Homo:sapiens:miR-6827:stem-loop	5	6	6.0	0.0
hsa-mir-6882:MI0022729:Homo:sapiens:miR-6882:stem-loop	6	6	6.0	0.0
hsa-mir-6877:MI0022724:Homo:sapiens:miR-6877:stem-loop	4	6	6.0	0.0
hsa-mir-2277:MI0011284:Homo:sapiens:miR-2277:stem-loop	4	6	6.0	0.0
hsa-mir-582:MI0003589:Homo:sapiens:miR-582:stem-loop	5	6	6.0	0.0
