ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-mir-372:MI0000780:Homo:sapiens:miR-372:stem-loop	5	54	54.0	0.0
hsa-mir-224:MI0000301:Homo:sapiens:miR-224:stem-loop	27	54	54.0	0.0
hsa-mir-29b-1:MI0000105:Homo:sapiens:miR-29b-1:stem-loop	26	89	52.0	0.0
hsa-mir-629:MI0003643:Homo:sapiens:miR-629:stem-loop	18	52	52.0	0.0
hsa-mir-2278:MI0011285:Homo:sapiens:miR-2278:stem-loop	11	48	48.0	0.0
hsa-mir-577:MI0003584:Homo:sapiens:miR-577:stem-loop	16	46	46.0	0.0
hsa-mir-3170:MI0014201:Homo:sapiens:miR-3170:stem-loop	20	45	45.0	0.0
hsa-mir-24-1:MI0000080:Homo:sapiens:miR-24-1:stem-loop	24	57	44.0	0.0
hsa-mir-5582:MI0019138:Homo:sapiens:miR-5582:stem-loop	11	44	44.0	0.0
hsa-mir-135a-2:MI0000453:Homo:sapiens:miR-135a-2:stem-loop	20	43	43.0	0.0
hsa-mir-744:MI0005559:Homo:sapiens:miR-744:stem-loop	14	42	42.0	0.0
hsa-mir-1292:MI0006433:Homo:sapiens:miR-1292:stem-loop	20	41	41.0	0.0
hsa-mir-196b:MI0001150:Homo:sapiens:miR-196b:stem-loop	25	41	41.0	0.0
hsa-mir-31:MI0000089:Homo:sapiens:miR-31:stem-loop	22	40	40.0	0.0
hsa-mir-643:MI0003658:Homo:sapiens:miR-643:stem-loop	15	40	40.0	0.0
hsa-mir-3064:MI0017375:Homo:sapiens:miR-3064:stem-loop	19	39	39.0	0.0
hsa-mir-421:MI0003685:Homo:sapiens:miR-421:stem-loop	18	39	39.0	0.0
hsa-mir-1277:MI0006419:Homo:sapiens:miR-1277:stem-loop	18	39	39.0	0.0
hsa-mir-340:MI0000802:Homo:sapiens:miR-340:stem-loop	6	38	38.0	0.0
