ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa_piR_019485|gb|DQ596756|Homo_sapiens:3:10100355:10100384:Plus	1	1	1.0	0.0
hsa_piR_000586|gb|DQ570728|Homo_sapiens:5:137924634:137924661:Minus	1	1	1.0	0.0
hsa_piR_015939|gb|DQ591773|Homo_sapiens:3:144029038:144029063:Minus	1	1	1.0	0.0
hsa_piR_020326|gb|DQ597916|Homo_sapiens:3:15524502:15524532:Plus	1	1	1.0	0.0
hsa_piR_017302|gb|DQ593917|Homo_sapiens:6:33973153:33973181:Plus	1	1	1.0	0.0
hsa_piR_011842|gb|DQ586015|Homo_sapiens:20:62032690:62032715:Plus	1	1	1.0	0.0
hsa_piR_019525|gb|DQ596809|Homo_sapiens:5:40863473:40863498:Minus	1	1	1.0	0.0
hsa_piR_020676|gb|DQ598455|Homo_sapiens:17:17028863:17028891:Plus	1	1	1.0	0.0
hsa_piR_000792|gb|DQ570989|Homo_sapiens:12:3448713:3448741:Plus	1	1	1.0	0.0
hsa_piR_011217|gb|DQ585139|Homo_sapiens:6:26264588:26264614:Plus	1	1	1.0	0.0
hsa_piR_015210|gb|DQ590781|Homo_sapiens:15:100111216:100111244:Plus	1	1	1.0	0.0
hsa_piR_011901|gb|DQ586098|Homo_sapiens:2:106681184:106681214:Minus	1	1	1.0	0.0
hsa_piR_015930|gb|DQ591764|Homo_sapiens:11:830320:830347:Minus	1	1	1.0	0.0
hsa_piR_003709|gb|DQ575036|Homo_sapiens:13:21100723:21100751:Minus	1	1	1.0	0.0
hsa_piR_000925|gb|DQ571174|Homo_sapiens:5:120979901:120979929:Plus	1	1	1.0	0.0
hsa_piR_009903|gb|DQ583334|Homo_sapiens:6:26232436:26232462:Plus	1	1	1.0	0.0
hsa_piR_020439|gb|DQ598084|Homo_sapiens:19:12678303:12678331:Minus	1	1	1.0	0.0
hsa_piR_002732|gb|DQ573682|Homo_sapiens:22:38039830:38039857:Minus	2	2	1.0	0.0
hsa_piR_003239|gb|DQ574391|Homo_sapiens:9:134885947:134885976:Plus	1	1	1.0	0.0
hsa_piR_017458|gb|DQ594126|Homo_sapiens:1:31213602:31213628:Minus	1	2	1.0	0.0
hsa_piR_015378|gb|DQ591007|Homo_sapiens:16:2509275:2509306:Plus	1	1	1.0	0.0
hsa_piR_017061|gb|DQ593574|Homo_sapiens:17:2180331:2180362:Minus	1	1	1.0	0.0
hsa_piR_023244|gb|DQ601792|Homo_sapiens:12:100069742:100069767:Plus	1	1	1.0	0.0
hsa_piR_000801|gb|DQ570999|Homo_sapiens:17:72069314:72069345:Plus	1	1	1.0	0.0
hsa_piR_006658|gb|DQ579110|Homo_sapiens:6:26393505:26393531:Minus	1	1	1.0	0.0
hsa_piR_009295|gb|DQ582567|Homo_sapiens:17:7969790:7969818:Plus	3	3	0.6000000000000001	0.0
hsa_piR_004307|gb|DQ575881|Homo_sapiens:3:170972715:170972744:Plus	3	3	0.5666666666666667	0.0
hsa_piR_017724|gb|DQ594465|Homo_sapiens:1:147565218:147565249:Minus	3	3	0.5666666666666667	0.0
hsa_piR_017723|gb|DQ594464|Homo_sapiens:3:170972714:170972743:Plus	3	3	0.5666666666666667	0.0
hsa_piR_004308|gb|DQ575882|Homo_sapiens:1:147565217:147565248:Minus	3	3	0.5666666666666667	0.0
hsa_piR_019008|gb|DQ596095|Homo_sapiens:10:108398852:108398881:Minus	1	1	0.5	0.0
hsa_piR_013401|gb|DQ588168|Homo_sapiens:1:26993498:26993525:Plus	1	1	0.5	0.0
hsa_piR_020079|gb|DQ597586|Homo_sapiens:1:26993500:26993529:Plus	1	1	0.5	0.0
hsa_piR_000190|gb|DQ570194|Homo_sapiens:7:113197515:113197541:Plus	1	1	0.5	0.0
hsa_piR_016745|gb|DQ593052|Homo_sapiens:1:147565220:147565247:Minus	1	1	0.16666666666666666	0.0
